structure,pdb,fv,success,reason_for_failure,location_of_failure
6gjs_C0,6gjs,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kba_A0-B0,7kba,A0-B0,True,,
7kba_H0-L0,7kba,H0-L0,True,,
8gw8_N0,8gw8,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3s62_H0-L0,3s62,H0-L0,True,,
6wdt_H0-L0,6wdt,H0-L0,True,,
6weq_E0-F0,6weq,E0-F0,True,,
6weq_G0-H0,6weq,G0-H0,True,,
6weq_I0-J0,6weq,I0-J0,True,,
6weq_K0-L0,6weq,K0-L0,True,,
6b9z_B0-A0,6b9z,B0-A0,True,,
8fxj_H0-L0,8fxj,H0-L0,True,,
2p47_B0,2p47,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
2qad_D0-C0,2qad,D0-C0,True,,
2qad_H0-G0,2qad,H0-G0,True,,
8tao_C0,8tao,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8tao_D0,8tao,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8tpa_H0-L0,8tpa,H0-L0,True,,
8tpa_D0-E0,8tpa,D0-E0,True,,
8tpa_I0-J0,8tpa,I0-J0,True,,
7x8t_C0-B0,7x8t,C0-B0,True,,
7x8t_F0-E0,7x8t,F0-E0,True,,
7x8t_I0-H0,7x8t,I0-H0,True,,
7x8t_L0-K0,7x8t,L0-K0,True,,
8tp2_H0-L0,8tp2,H0-L0,True,,
8tp4_H0-L0,8tp4,H0-L0,True,,
7z1x_B0,7z1x,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7z1x_E0,7z1x,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7z1x_C0,7z1x,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7z1x_F0,7z1x,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
2vwe_E0-C0,2vwe,E0-C0,True,,
2vwe_L0-J0,2vwe,L0-J0,True,,
8fym_H0-L0,8fym,H0-L0,True,,
8fym_B0-A0,8fym,B0-A0,True,,
8fym_E0-D0,8fym,E0-D0,True,,
8fym_I0-G0,8fym,I0-G0,True,,
8eln_C0,8eln,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8eln_G0,8eln,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8eln_H0,8eln,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8eln_K0,8eln,K0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8eln_L0,8eln,L0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8eln_D0,8eln,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7f12_B0-B1,7f12,B0-B1,True,,
8gje_H0-L0,8gje,H0-L0,True,,
8gje_G0-J0,8gje,G0-J0,True,,
8gje_I0-K0,8gje,I0-K0,True,,
8i9a_H0-H1,8i9a,H0-H1,True,,
7f7h_A0-B0,7f7h,A0-B0,True,,
7f7h_C0-D0,7f7h,C0-D0,True,,
8hqc_H0-H1,8hqc,H0-H1,True,,
8fzp_A0-B0,8fzp,A0-B0,True,,
6a3w_A0-B0,6a3w,A0-B0,True,,
6a3w_D0-E0,6a3w,D0-E0,True,,
6a3w_G0-H0,6a3w,G0-H0,True,,
6a3w_J0-K0,6a3w,J0-K0,True,,
8bg4_A0-A1,8bg4,A0-A1,True,,
8bg4_C0-C1,8bg4,C0-C1,True,,
6lcs_A0-B0,6lcs,A0-B0,True,,
8tp3_H0-L0,8tp3,H0-L0,True,,
8bg5_C0-C1,8bg5,C0-C1,True,,
8bg5_A0-A1,8bg5,A0-A1,True,,
8g19_H0-L0,8g19,H0-L0,True,,
6m0f_H0-L0,6m0f,H0-L0,True,,
8oxw_B0-C0,8oxw,B0-C0,True,,
8itm_N0,8itm,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8t7h_C0,8t7h,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8t7h_D0,8t7h,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ydm_N0,7ydm,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8ftt_B0,8ftt,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8ftt_C0,8ftt,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8ftt_D0,8ftt,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8ftt_A0,8ftt,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6axp_B0-A0,6axp,B0-A0,True,,
6axp_D0-C0,6axp,D0-C0,True,,
5ds8_A0-B0,5ds8,A0-B0,True,,
5ds8_H0-L0,5ds8,H0-L0,True,,
8g1c_A0-B0,8g1c,A0-B0,True,,
8g1c_C0-D0,8g1c,C0-D0,True,,
8hqe_H0-H1,8hqe,H0-H1,True,,
7d6y_B0,7d6y,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
2bob_A0-B0,2bob,A0-B0,True,,
5b3j_E0-F0,5b3j,E0-F0,True,,
5b3j_H0-L0,5b3j,H0-L0,True,,
8en5_G0,8en5,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8en5_E0,8en5,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8en5_F0,8en5,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8en5_H0,8en5,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5b4m_H0-L0,5b4m,H0-L0,True,,
5b4m_C0-D0,5b4m,C0-D0,True,,
5b6f_B0-A0,5b6f,B0-A0,True,,
5b6f_D0-C0,5b6f,D0-C0,True,,
5b6f_F0-E0,5b6f,F0-E0,True,,
5b6f_H0-G0,5b6f,H0-G0,True,,
8en6_C0,8en6,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8en6_D0,8en6,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4org_H0-L0,4org,H0-L0,True,,
4org_A0-B0,4org,A0-B0,True,,
4org_C0-D0,4org,C0-D0,True,,
4org_E0-F0,4org,E0-F0,True,,
5bjz_C0-L0,5bjz,C0-L0,True,,
5bjz_D0-H0,5bjz,D0-H0,True,,
4kq3_H0-L0,4kq3,H0-L0,True,,
4krl_B0,4krl,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5bk0_D0-C0,5bk0,D0-C0,True,,
5bk0_B0-A0,5bk0,B0-A0,True,,
5bk1_H0-L0,5bk1,H0-L0,True,,
5bk1_C0-D0,5bk1,C0-D0,True,,
5bk2_C0-D0,5bk2,C0-D0,True,,
5bk2_H0-L0,5bk2,H0-L0,True,,
5bk3_H0-L0,5bk3,H0-L0,True,,
5bk3_A0-B0,5bk3,A0-B0,True,,
5bk3_C0-D0,5bk3,C0-D0,True,,
5bk3_E0-F0,5bk3,E0-F0,True,,
5bk5_B0-A0,5bk5,B0-A0,True,,
5bk5_H0-G0,5bk5,H0-G0,True,,
5bk5_D0-C0,5bk5,D0-C0,True,,
5bk5_F0-E0,5bk5,F0-E0,True,,
5bmf_H0-L0,5bmf,H0-L0,True,,
5bo1_H0-L0,5bo1,H0-L0,True,,
5bo1_I0-M0,5bo1,I0-M0,True,,
5bop_C0,5bop,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5bop_A0,5bop,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5boz_G0,5boz,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5boz_H0,5boz,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5boz_I0,5boz,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5boz_J0,5boz,J0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5boz_K0,5boz,K0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5boz_L0,5boz,L0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4ocw_H0-L0,4ocw,H0-L0,True,,
4kxz_H0-L0,4kxz,H0-L0,True,,
4kxz_J0-I0,4kxz,J0-I0,True,,
4kxz_N0-M0,4kxz,N0-M0,True,,
4kxz_Q0-P0,4kxz,Q0-P0,True,,
5bv7_H0-L0,5bv7,H0-L0,True,,
5bv7_C0-B0,5bv7,C0-B0,True,,
5bvj_B0-A0,5bvj,B0-A0,True,,
5bvj_D0-C0,5bvj,D0-C0,True,,
5bvj_F0-E0,5bvj,F0-E0,True,,
5bvj_H0-G0,5bvj,H0-G0,True,,
5bvp_H0-L0,5bvp,H0-L0,True,,
4l1h_A0,4l1h,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
5bzd_B0-A0,5bzd,B0-A0,True,,
5bzd_D0-C0,5bzd,D0-C0,True,,
5bzw_B0-A0,5bzw,B0-A0,True,,
5c0n_H0-L0,5c0n,H0-L0,True,,
5c0n_C0-D0,5c0n,C0-D0,True,,
5c0r_H0-L0,5c0r,H0-L0,True,,
5c0s_H0-L0,5c0s,H0-L0,True,,
5c1m_B0,5c1m,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5c2b_H0-H1,5c2b,H0-H1,True,,
5c2u_B0,5c2u,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5c3l_D0,5c3l,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5c6t_H0-L0,5c6t,H0-L0,True,,
5c6w_H0-H1,5c6w,H0-H1,True,,
5c6w_J0-J1,5c6w,J0-J1,True,,
5c7k_A0-B0,5c7k,A0-B0,True,,
5c7k_E0-F0,5c7k,E0-F0,True,,
5c7x_H0-L0,5c7x,H0-L0,True,,
5c7x_M0-N0,5c7x,M0-N0,True,,
5c8j_A0-B0,5c8j,A0-B0,True,,
5c8j_E0-F0,5c8j,E0-F0,True,,
5c8j_G0-H0,5c8j,G0-H0,True,,
5c8j_C0-D0,5c8j,C0-D0,True,,
5nyx_H0-L0,5nyx,H0-L0,True,,
5nyx_M0-N0,5nyx,M0-N0,True,,
5nyx_O0-P0,5nyx,O0-P0,True,,
5c9k_A0-G0,5c9k,A0-G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL-VL'.,VH-VL check
5c9k_C0-E0,5c9k,C0-E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL-VL'.,VH-VL check
5c9k_D0-F0,5c9k,D0-F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL-VL'.,VH-VL check
5c9k_H0,5c9k,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
5c9k_B0,5c9k,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
5cba_A0-B0,5cba,A0-B0,True,,
5cba_C0-D0,5cba,C0-D0,True,,
5cbe_A0-B0,5cbe,A0-B0,True,,
5cbe_C0-D0,5cbe,C0-D0,True,,
5cck_H0-L0,5cck,H0-L0,True,,
5cd3_G0-H0,5cd3,G0-H0,True,,
5cd3_A0-B0,5cd3,A0-B0,True,,
5cd3_C0-D0,5cd3,C0-D0,True,,
5cd3_E0-F0,5cd3,E0-F0,True,,
5cd5_C0-D0,5cd5,C0-D0,True,,
5cex_B0-A0,5cex,B0-A0,True,,
5cex_D0-C0,5cex,D0-C0,True,,
1ynt_B0-A0,1ynt,B0-A0,True,,
1ynt_D0-C0,1ynt,D0-C0,True,,
8e0e_B0,8e0e,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5cgy_H0-L0,5cgy,H0-L0,True,,
5cgy_C0-D0,5cgy,C0-D0,True,,
5chn_H0-L0,5chn,H0-L0,True,,
5chn_A0-B0,5chn,A0-B0,True,,
3hr5_H0-L0,3hr5,H0-L0,True,,
3hr5_B0-A0,3hr5,B0-A0,True,,
3hr5_I0-P0,3hr5,I0-P0,True,,
3hr5_J0-Q0,3hr5,J0-Q0,True,,
3hzk_B0-A0,3hzk,B0-A0,True,,
3hzm_B0-A0,3hzm,B0-A0,True,,
4las_H0-H1,4las,H0-H1,True,,
3i02_B0-A0,3i02,B0-A0,True,,
3i02_D0-C0,3i02,D0-C0,True,,
3i2c_H0-L0,3i2c,H0-L0,True,,
3i50_H0-L0,3i50,H0-L0,True,,
7sx7_H0-L0,7sx7,H0-L0,True,,
7sx7_B0-C0,7sx7,B0-C0,True,,
3i9g_H0-L0,3i9g,H0-L0,True,,
3idg_B0-A0,3idg,B0-A0,True,,
3idi_B0-A0,3idi,B0-A0,True,,
3idj_B0-A0,3idj,B0-A0,True,,
6veq_C0-D0,6veq,C0-D0,True,,
6veq_I0-J0,6veq,I0-J0,True,,
3idn_B0-A0,3idn,B0-A0,True,,
3idx_H0-L0,3idx,H0-L0,True,,
3idy_H0-L0,3idy,H0-L0,True,,
3idy_B0-C0,3idy,B0-C0,True,,
3iet_B0-A0,3iet,B0-A0,True,,
3iet_D0-C0,3iet,D0-C0,True,,
3if1_B0-A0,3if1,B0-A0,True,,
3if1_D0-C0,3if1,D0-C0,True,,
3ifl_H0-L0,3ifl,H0-L0,True,,
4lbe_A0-B0,4lbe,A0-B0,True,,
2igf_H0-L0,2igf,H0-L0,True,,
3ifn_H0-L0,3ifn,H0-L0,True,,
3ifo_H0-L0,3ifo,H0-L0,True,,
3ifo_A0-B0,3ifo,A0-B0,True,,
3ifp_C0-D0,3ifp,C0-D0,True,,
3ifp_H0-L0,3ifp,H0-L0,True,,
3ifp_A0-B0,3ifp,A0-B0,True,,
3ifp_E0-F0,3ifp,E0-F0,True,,
3iga_A0-B0,3iga,A0-B0,True,,
3ijh_B0-A0,3ijh,B0-A0,True,,
3ijh_D0-C0,3ijh,D0-C0,True,,
3ijs_B0-A0,3ijs,B0-A0,True,,
3ijs_D0-C0,3ijs,D0-C0,True,,
3ijy_B0-A0,3ijy,B0-A0,True,,
3ijy_D0-C0,3ijy,D0-C0,True,,
3ikc_B0-A0,3ikc,B0-A0,True,,
3ikc_D0-C0,3ikc,D0-C0,True,,
3inu_H0-L0,3inu,H0-L0,True,,
3inu_M0-N0,3inu,M0-N0,True,,
1v7n_H0-L0,1v7n,H0-L0,True,,
1v7n_I0-M0,1v7n,I0-M0,True,,
1v7n_J0-N0,1v7n,J0-N0,True,,
1v7n_K0-O0,1v7n,K0-O0,True,,
1mfe_H0-L0,1mfe,H0-L0,True,,
3iu4_H0-L0,3iu4,H0-L0,True,,
3ivk_H0-L0,3ivk,H0-L0,True,,
3ivk_A0-B0,3ivk,A0-B0,True,,
3ixt_A0-B0,3ixt,A0-B0,True,,
3ixt_H0-L0,3ixt,H0-L0,True,,
3ixx_I0-J0,3ixx,I0-J0,True,,
3ixx_G0-H0,3ixx,G0-H0,True,,
3iy1_B0-A0,3iy1,B0-A0,True,,
3iy2_B0-A0,3iy2,B0-A0,True,,
4odu_H0-L0,4odu,H0-L0,True,,
4odu_A0-B0,4odu,A0-B0,True,,
4odv_H0-L0,4odv,H0-L0,True,,
3iy3_B0-A0,3iy3,B0-A0,True,,
3iy4_B0-A0,3iy4,B0-A0,True,,
3iy5_B0-A0,3iy5,B0-A0,True,,
3iy6_B0-A0,3iy6,B0-A0,True,,
2lve_A0,2lve,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3iy7_B0-A0,3iy7,B0-A0,True,,
3iyw_H0-L0,3iyw,H0-L0,True,,
3iyw_K0-M0,3iyw,K0-M0,True,,
3j1s_H0-L0,3j1s,H0-L0,True,,
3j2x_B0-A0,3j2x,B0-A0,True,,
3j2x_D0-C0,3j2x,D0-C0,True,,
3j2x_F0-E0,3j2x,F0-E0,True,,
3j2x_H0-G0,3j2x,H0-G0,True,,
3j2y_B0-A0,3j2y,B0-A0,True,,
3j2y_D0-C0,3j2y,D0-C0,True,,
3j2y_F0-E0,3j2y,F0-E0,True,,
3j2y_H0-G0,3j2y,H0-G0,True,,
4zs6_H0-L0,4zs6,H0-L0,True,,
4zs6_C0-D0,4zs6,C0-D0,True,,
1ck0_H0-L0,1ck0,H0-L0,True,,
7kbm_A0,7kbm,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kbm_A1,7kbm,A1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7rp3_H0-I0,7rp3,H0-I0,True,,
7djx_A0,7djx,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7yr1_D0-F0,7yr1,D0-F0,True,,
7yr1_E0-G0,7yr1,E0-G0,True,,
7yr1_H0-L0,7yr1,H0-L0,True,,
6al0_H0-L0,6al0,H0-L0,True,,
7mrz_X0-Y0,7mrz,X0-Y0,True,,
7yrf_F0-E0,7yrf,F0-E0,True,,
1cl7_H0-L0,1cl7,H0-L0,True,,
7yrh_F0-E0,7yrh,F0-E0,True,,
8fan_A0-B0,8fan,A0-B0,True,,
8fan_C0-D0,8fan,C0-D0,True,,
8fan_E0-F0,8fan,E0-F0,True,,
7sfx_G0-H0,7sfx,G0-H0,True,,
7sfx_C0-D0,7sfx,C0-D0,True,,
7sfx_A0-B0,7sfx,A0-B0,True,,
7sfx_J0-K0,7sfx,J0-K0,True,,
7yrn_D0-E0,7yrn,D0-E0,True,,
7yrn_F0-G0,7yrn,F0-G0,True,,
7yrn_H0-I0,7yrn,H0-I0,True,,
7yru_H0-L0,7yru,H0-L0,True,,
32c2_B0-A0,32c2,B0-A0,True,,
7kqh_H0-L0,7kqh,H0-L0,True,,
7kqh_C0-D0,7kqh,C0-D0,True,,
7jwg_H0-L0,7jwg,H0-L0,True,,
7jwg_A0-B0,7jwg,A0-B0,True,,
7s5q_B0-C0,7s5q,B0-C0,True,,
7s5q_H0-L0,7s5q,H0-L0,True,,
7kbo_A0,7kbo,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kbo_A1,7kbo,A1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7ys6_E0-E1,7ys6,E0-E1,True,,
35c8_H0-L0,35c8,H0-L0,True,,
8iy5_E0-E1,8iy5,E0-E1,True,,
7n3e_H0-L0,7n3e,H0-L0,True,,
7yu3_S0-S1,7yu3,S0-S1,True,,
7yu5_S0-S1,7yu5,S0-S1,True,,
7rah_B0-A0,7rah,B0-A0,True,,
7rah_D0-C0,7rah,D0-C0,True,,
7yu6_S0-S1,7yu6,S0-S1,True,,
1clo_H0-L0,1clo,H0-L0,True,,
1cly_H0-L0,1cly,H0-L0,True,,
7jn5_H0-L0,7jn5,H0-L0,True,,
7t75_H0-L0,7t75,H0-L0,True,,
7t76_H0-L0,7t76,H0-L0,True,,
7u8c_H0-L0,7u8c,H0-L0,True,,
6w73_H0-L0,6w73,H0-L0,True,,
8hvi_H0-H1,8hvi,H0-H1,True,,
1clz_H0-L0,1clz,H0-L0,True,,
7kbp_D0,7kbp,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kbp_D1,7kbp,D1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7kbp_A0,7kbp,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kbp_A1,7kbp,A1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7kbp_B0,7kbp,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kbp_B1,7kbp,B1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7kbp_C0,7kbp,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kbp_C1,7kbp,C1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7yu7_S0-S1,7yu7,S0-S1,True,,
6k4z_A1-A0,6k4z,A1-A0,True,,
6k4z_B1-B0,6k4z,B1-B0,True,,
3a6b_H0-L0,3a6b,H0-L0,True,,
7rly_C0-D0,7rly,C0-D0,True,,
7rly_E0-F0,7rly,E0-F0,True,,
7rly_A0-B0,7rly,A0-B0,True,,
1hq4_B0-A0,1hq4,B0-A0,True,,
1hq4_D0-C0,1hq4,D0-C0,True,,
7yu8_S0-S1,7yu8,S0-S1,True,,
7yuf_H0-L0,7yuf,H0-L0,True,,
7yuf_N0,7yuf,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7yuf_K0,7yuf,K0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3qny_B0-A0,3qny,B0-A0,True,,
3qny_D0-C0,3qny,D0-C0,True,,
1cr9_H0-L0,1cr9,H0-L0,True,,
7u0c_A0-B0,7u0c,A0-B0,True,,
7u0c_C0-D0,7u0c,C0-D0,True,,
7u0c_H0-L0,7u0c,H0-L0,True,,
3m8o_H0-L0,3m8o,H0-L0,True,,
7wvg_C0-D0,7wvg,C0-D0,True,,
8dfg_H0-L0,8dfg,H0-L0,True,,
8dfg_I0-M0,8dfg,I0-M0,True,,
7mnm_H0-L0,7mnm,H0-L0,True,,
7mnm_K0-M0,7mnm,K0-M0,True,,
7yvj_C0-A0,7yvj,C0-A0,True,,
7yvk_K0-L0,7yvk,K0-L0,True,,
7yvk_H0-I0,7yvk,H0-I0,True,,
7yvk_N0-O0,7yvk,N0-O0,True,,
1dbk_H0-L0,1dbk,H0-L0,True,,
7kd2_C0,7kd2,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7rew_H0-L0,7rew,H0-L0,True,,
7rew_A0-B0,7rew,A0-B0,True,,
6x04_B0,6x04,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6x04_D0,6x04,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6x04_F0,6x04,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6x04_H0,6x04,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6x04_J0,6x04,J0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6x04_L0,6x04,L0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
1dbm_H0-L0,1dbm,H0-L0,True,,
8ahn_H0-L0,8ahn,H0-L0,True,,
7kdm_C0,7kdm,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kdm_F0,7kdm,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6vy6_H0-L0,6vy6,H0-L0,True,,
1dcl_B0-A0,1dcl,B0-A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL-VL'.,VH-VL check
3bd4_A0,3bd4,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3bd4_B0,3bd4,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7ke1_A0-B0,7ke1,A0-B0,True,,
7ke1_C0-D0,7ke1,C0-D0,True,,
6uuh_C0-D0,6uuh,C0-D0,True,,
6uuh_A0-B0,6uuh,A0-B0,True,,
7yvl_A0-C0,7yvl,A0-C0,True,,
7rg7_A0,7rg7,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7zra_E0,7zra,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7zra_G0,7zra,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7zra_F0,7zra,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7zra_H0,7zra,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7myt_A0-B0,7myt,A0-B0,True,,
7myt_H0-L0,7myt,H0-L0,True,,
7ryu_H0-L0,7ryu,H0-L0,True,,
3b5g_A0-B0,3b5g,A0-B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL-VL'.,VH-VL check
7lcv_A0-B0,7lcv,A0-B0,True,,
7yvm_C0-A0,7yvm,C0-A0,True,,
1g7j_B0-A0,1g7j,B0-A0,True,,
7yvn_O0-N0,7yvn,O0-N0,True,,
7yvn_L0-K0,7yvn,L0-K0,True,,
7yvn_H0,7yvn,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7yvn_I0,7yvn,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kzz_F0-E0,7kzz,F0-E0,True,,
7kzz_D0-C0,7kzz,D0-C0,True,,
7rm3_A0-B0,7rm3,A0-B0,True,,
7rm3_C0-D0,7rm3,C0-D0,True,,
7yvo_I0-H0,7yvo,I0-H0,True,,
7yvo_K0-J0,7yvo,K0-J0,True,,
7yvo_M0-L0,7yvo,M0-L0,True,,
7yvo_O0-N0,7yvo,O0-N0,True,,
7s0j_H0-L0,7s0j,H0-L0,True,,
1dee_D0-C0,1dee,D0-C0,True,,
1dee_B0-A0,1dee,B0-A0,True,,
1dee_F0-E0,1dee,F0-E0,True,,
1frg_H0-L0,1frg,H0-L0,True,,
7kej_H0-K0,7kej,H0-K0,True,,
7kej_I0-L0,7kej,I0-L0,True,,
7kej_G0-J0,7kej,G0-J0,True,,
7yvp_L0-M0,7yvp,L0-M0,True,,
7yvp_P0-O0,7yvp,P0-O0,True,,
7yvp_K0-H0,7yvp,K0-H0,True,,
7yvp_I0,7yvp,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7yvp_J0,7yvp,J0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7tuf_H0-L0,7tuf,H0-L0,True,,
7tuf_A0-B0,7tuf,A0-B0,True,,
1dfb_H0-L0,1dfb,H0-L0,True,,
7kc9_F0,7kc9,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kc9_C0,7kc9,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3b9k_H0-L0,3b9k,H0-L0,True,,
3b9k_D0-C0,3b9k,D0-C0,True,,
7yxu_H0-L0,7yxu,H0-L0,True,,
6x4t_B0-E0,6x4t,B0-E0,True,,
6x4t_D0-F0,6x4t,D0-F0,True,,
3b9v_A0,3b9v,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3b9v_B0,3b9v,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3b9v_C0,3b9v,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3b9v_D0,3b9v,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7lj4_E0-D0,7lj4,E0-D0,True,,
7lj4_G0-F0,7lj4,G0-F0,True,,
7l02_H0-L0,7l02,H0-L0,True,,
7l02_M0-K0,7l02,M0-K0,True,,
